ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status do imposto,Classe de imposto,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vendido individualmente?,Peso (kg),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Observação de compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Limite de downloads,Dias para expirar o download,Ascendente,Grupo de produtos,Upsells,Venda cruzada,URL externa,Texto do botão,Posição,Marcas,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1
54605,simple,7893095817775,,"Garrafa Termica Terere 2,5 L - Stanley",0,0,visible,"Garrafa Termica Terere 2,5 L - Stanley | Marca: Stanley | Categoria: Cutelaria | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Garrafa Termica Terere 2,5 L - Stanley</h2>\n<p>Produto <strong>Stanley</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>2.500 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Stanley</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 2.500 Kg (1x 2.500 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,2.5,,,,1,,,"199,90",Cutelaria,"Cutelaria, Stanley",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/7893095817775.jpg,,,,,,,,,0,Stanley,Marca,Stanley,1.0,1.0
56406,simple,3795,,Bainha Canivete Pequena - Jr Esporte E Pesca,1,0,visible,Bainha Canivete Pequena - Jr Esporte E Pesca | Marca: Jr Esporte E Pesca | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bainha Canivete Pequena - Jr Esporte E Pesca</h2>\n<p>Produto <strong>Jr Esporte E Pesca</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Jr Esporte E Pesca</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,4,,0,0,,,,,1,,,"20,00",Cutelaria,"Cutelaria, Jr Esporte E Pesca",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/3795.webp,,,,,,,,,0,Jr Esporte E Pesca,Marca,Jr Esporte E Pesca,1.0,1.0
56686,simple,7899751100465,,Canivete Automatico Cb. De Madeira C/Bainha Esportiva - Original,1,0,visible,Canivete Automatico Cb. De Madeira C/Bainha Esportiva - Original | Marca: Original | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Canivete Automatico Cb. De Madeira C/Bainha Esportiva - Original</h2>\n<p>Produto <strong>Original</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Original</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,5,,0,0,,,,,1,,,"39,90",Cutelaria,"Cutelaria, Original",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/7899751100465.png,,,,,,,,,0,Original,Marca,Original,1.0,1.0
56688,simple,7896167000556,,Canivete Carbono Bainha Pl - Cimo,1,0,visible,Canivete Carbono Bainha Pl - Cimo | Marca: Cimo | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Canivete Carbono Bainha Pl - Cimo</h2>\n<p>Produto <strong>Cimo</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Cimo</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"89,90",Cutelaria,"Cimo, Cutelaria",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/7896167000556.png,,,,,,,,,0,Cimo,Marca,Cimo,1.0,1.0
56690,simple,7896167015536,,Canivete Carbono Ponta Larga - Cimo,1,0,visible,Canivete Carbono Ponta Larga - Cimo | Marca: Cimo | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Canivete Carbono Ponta Larga - Cimo</h2>\n<p>Produto <strong>Cimo</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Cimo</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"59,90",Cutelaria,"Cimo, Cutelaria",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/7896167015536.png,,,,,,,,,0,Cimo,Marca,Cimo,1.0,1.0
56693,simple,7896167099963,,Canivete Inox Clip Pq - Cimo,1,0,visible,Canivete Inox Clip Pq - Cimo | Marca: Cimo | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Canivete Inox Clip Pq - Cimo</h2>\n<p>Produto <strong>Cimo</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Cimo</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"98,90",Cutelaria,"Cimo, Cutelaria",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/7896167099963.png,,,,,,,,,0,Cimo,Marca,Cimo,1.0,1.0
56694,simple,7896167002031,,Canivete Inox P Larga - Cimo,1,0,visible,Canivete Inox P Larga - Cimo | Marca: Cimo | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Canivete Inox P Larga - Cimo</h2>\n<p>Produto <strong>Cimo</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Cimo</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"69,90",Cutelaria,"Cimo, Cutelaria",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/7896167002031.png,,,,,,,,,0,Cimo,Marca,Cimo,1.0,1.0
56695,simple,7896167052012,,Canivete Inox Ponta Fina - Cimo,1,0,visible,Canivete Inox Ponta Fina - Cimo | Marca: Cimo | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Canivete Inox Ponta Fina - Cimo</h2>\n<p>Produto <strong>Cimo</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Cimo</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"66,90",Cutelaria,"Cimo, Cutelaria",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/7896167052012.png,,,,,,,,,0,Cimo,Marca,Cimo,1.0,1.0
56697,simple,5013845213912,,Canivete Luatek D87,1,0,visible,Canivete Luatek D87 | Marca: Luatek | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Canivete Luatek D87</h2>\n<p>Produto <strong>Luatek</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Luatek</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"39,90",Cutelaria,"Cutelaria, Luatek",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/5013845213912.png,,,,,,,,,0,Luatek,Marca,Luatek,1.0,1.0
56698,simple,7892020115481,,Canivete Manual Dobravel Inox - Top Casa,1,0,visible,Canivete Manual Dobravel Inox - Top Casa | Marca: Top Casa | Categoria: Cutelaria | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Canivete Manual Dobravel Inox - Top Casa</h2>\n<p>Produto <strong>Top Casa</strong> da linha Cutelaria. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Top Casa</li>\n  <li>📦 <strong>Categoria:</strong> Cutelaria</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,4,,0,0,,,,,1,,,"25,00",Cutelaria,"Cutelaria, Top Casa",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/cutelaria/7892020115481.png,,,,,,,,,0,Top Casa,Marca,Top Casa,1.0,1.0
