ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status do imposto,Classe de imposto,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vendido individualmente?,Peso (kg),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Observação de compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Limite de downloads,Dias para expirar o download,Ascendente,Grupo de produtos,Upsells,Venda cruzada,URL externa,Texto do botão,Posição,Marcas,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1
52805,simple,7898185261018,,Ade Vit Calbos Inj. 50 ml,1,0,visible,Ade Vit Calbos Inj. 50 ml | Marca: Calbos | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Ade Vit Calbos Inj. 50 ml</h2>\n<p>Produto <strong>Calbos</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.050 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Calbos</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.050 Kg (1x 0.050 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,0.05,,,,1,,,"17,00",Farmacia,"Calbos, Farmacia",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/7898185261018.jpg,,,,,,,,,0,Calbos,Marca,Calbos,1,1
52811,simple,4759,,Agulha Hipodermica 10X15Mm - Hoppner,1,0,visible,Agulha Hipodermica 10X15Mm - Hoppner | Marca: Hoppner | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Agulha Hipodermica 10X15Mm - Hoppner</h2>\n<p>Produto <strong>Hoppner</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Hoppner</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,21,,0,0,,,,,1,,,"3,50",Farmacia,"Farmacia, Hoppner",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/4759.jpg,,,,,,,,,0,Hoppner,Marca,Hoppner,1,1
52828,simple,7896006248576,,Aliv V 50Ml - Agener União,1,0,visible,Aliv V 50Ml - Agener União | Marca: Agener União | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Aliv V 50Ml - Agener União</h2>\n<p>Produto <strong>Agener União</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.050 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Agener União</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.050 Kg (1x 0.050 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,0.05,,,,1,,,"43,50",Farmacia,"Agener União, Farmacia",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/7896006248576.jpg,,,,,,,,,0,Agener União,Marca,Agener União,1,1
52835,simple,7898053580470,,Aminomix Pet 100 G - Vetnil,1,0,visible,Aminomix Pet 100 G - Vetnil | Marca: Vetnil | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Aminomix Pet 100 G - Vetnil</h2>\n<p>Produto <strong>Vetnil</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.100 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Vetnil</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.100 Kg (1x 0.100 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,0.1,,,,1,,,"44,00",Farmacia,"Farmacia, Vetnil",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/7898053580470.png,,,,,,,,,0,Vetnil,Marca,Vetnil,1,1
52837,simple,7898053586540,,Aminomix Pet Gold 500G - Vetnil,0,0,visible,Aminomix Pet Gold 500G - Vetnil | Marca: Vetnil | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Aminomix Pet Gold 500G - Vetnil</h2>\n<p>Produto <strong>Vetnil</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.500 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Vetnil</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.500 Kg (1x 0.500 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,0.5,,,,1,,,"179,90",Farmacia,"Farmacia, Vetnil",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/7898053586540.jpg,,,,,,,,,0,Vetnil,Marca,Vetnil,1,1
52839,simple,2665,,Anel Para Castracao,1,0,visible,Anel Para Castracao | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Anel Para Castracao</h2>\n<p>Produto de alta qualidade da categoria Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,48,,0,0,,,,,1,,,"1,50",Farmacia,Farmacia,,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/2665.jpg,,,,,,,,,0,,,,,
52956,simple,7898006193016,,Apyron Inj. 100 ml - Ucb Vet,0,0,visible,Apyron Inj. 100 ml - Ucb Vet | Marca: Ucb Vet | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Apyron Inj. 100 ml - Ucb Vet</h2>\n<p>Produto <strong>Ucb Vet</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.100 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Ucb Vet</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.100 Kg (1x 0.100 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,0.1,,,,1,,,"58,00",Farmacia,"Farmacia, Ucb Vet",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/7898006193016.jpg,,,,,,,,,0,Ucb Vet,Marca,Ucb Vet,1,1
52958,simple,7898006194198,,Apyron Inj. 30Ml - Ucb Vet,0,0,visible,Apyron Inj. 30Ml - Ucb Vet | Marca: Ucb Vet | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Apyron Inj. 30Ml - Ucb Vet</h2>\n<p>Produto <strong>Ucb Vet</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.030 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Ucb Vet</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.030 Kg (1x 0.030 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,0.03,,,,1,,,"29,50",Farmacia,"Farmacia, Ucb Vet",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/7898006194198.jpg,,,,,,,,,0,Ucb Vet,Marca,Ucb Vet,1,1
52990,simple,7898019864293,,Aurigen 15 Gr - Ouro Fino,1,0,visible,Aurigen 15 Gr - Ouro Fino | Marca: Ouro Fino | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Aurigen 15 Gr - Ouro Fino</h2>\n<p>Produto <strong>Ouro Fino</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Ouro Fino</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"75,00",Farmacia,"Farmacia, Ouro Fino",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/7898019864293.jpg,,,,,,,,,0,Ouro Fino,Marca,Ouro Fino,1,1
52992,simple,7898019860080,,Auritop 15G - Ouro Fino,1,0,visible,Auritop 15G - Ouro Fino | Marca: Ouro Fino | Categoria: Farmacia | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Auritop 15G - Ouro Fino</h2>\n<p>Produto <strong>Ouro Fino</strong> da linha Farmacia. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.015 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Ouro Fino</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.015 Kg (1x 0.015 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Farmacia</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,0.015,,,,1,,,"75,00",Farmacia,"Farmacia, Ouro Fino",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/farmacia/7898019860080.jpg,,,,,,,,,0,Ouro Fino,Marca,Ouro Fino,1,1
