ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status do imposto,Classe de imposto,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vendido individualmente?,Peso (kg),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Observação de compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Limite de downloads,Dias para expirar o download,Ascendente,Grupo de produtos,Upsells,Venda cruzada,URL externa,Texto do botão,Posição,Marcas,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1
52794,simple,7898011974655,,"Abracadeira De Nylon 3,6Mm X 200Mm - Thompson",0,0,visible,"Abracadeira De Nylon 3,6Mm X 200Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 3,6Mm X 200Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"15,90",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011974655.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52795,simple,7898011975546,,"Abracadeira De Nylon 3,6Mm X 300Mm - Thompson",0,0,visible,"Abracadeira De Nylon 3,6Mm X 300Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 3,6Mm X 300Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"23,90",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011975546.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52796,simple,7898011974785,,"Abracadeira De Nylon 4,8Mm X 200Mm - Thompson",0,0,visible,"Abracadeira De Nylon 4,8Mm X 200Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 4,8Mm X 200Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"19,90",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011974785.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52797,simple,7898011974686,,"Abracadeira De Nylon 4,8Mm X 200Mm - Thompson",0,0,visible,"Abracadeira De Nylon 4,8Mm X 200Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 4,8Mm X 200Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"19,90",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011974686.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52798,simple,7898011974693,,"Abracadeira De Nylon 4,8Mm X 250Mm - Thompson",0,0,visible,"Abracadeira De Nylon 4,8Mm X 250Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 4,8Mm X 250Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"29,90",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011974693.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52799,simple,7898011975553,,"Abracadeira De Nylon 4,8Mm X 250Mm - Thompson",0,0,visible,"Abracadeira De Nylon 4,8Mm X 250Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 4,8Mm X 250Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"29,90",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011975553.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52800,simple,7898011974792,,"Abracadeira De Nylon 4,8Mm X 300Mm - Thompson",1,0,visible,"Abracadeira De Nylon 4,8Mm X 300Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 4,8Mm X 300Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,6,,0,0,,,,,1,,,"35,00",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011974792.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52801,simple,7898011974709,,"Abracadeira De Nylon 4,8Mm X 300Mm - Thompson",1,0,visible,"Abracadeira De Nylon 4,8Mm X 300Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 4,8Mm X 300Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,4,,0,0,,,,,1,,,"33,00",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011974709.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52802,simple,7898011974716,,"Abracadeira De Nylon 4,8Mm X 370Mm - Thompson",1,0,visible,"Abracadeira De Nylon 4,8Mm X 370Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 4,8Mm X 370Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"48,00",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011974716.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
52803,simple,7898011975560,,"Abracadeira De Nylon 4,8Mm X 370Mm - Thompson",0,0,visible,"Abracadeira De Nylon 4,8Mm X 370Mm - Thompson | Marca: Thompson | Categoria: Geral | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Abracadeira De Nylon 4,8Mm X 370Mm - Thompson</h2>\n<p>Produto <strong>Thompson</strong> da linha Geral. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Thompson</li>\n  <li>📦 <strong>Categoria:</strong> Geral</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"48,00",Geral,"Geral, Thompson",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/geral/7898011975560.jpg,,,,,,,,,0,Thompson,Marca,Thompson,1,1
