ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status do imposto,Classe de imposto,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vendido individualmente?,Peso (kg),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Observação de compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Limite de downloads,Dias para expirar o download,Ascendente,Grupo de produtos,Upsells,Venda cruzada,URL externa,Texto do botão,Posição,Marcas,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1
52831,simple,3103,,Alpiste Limpo - Pelisari Sementes,1,0,visible,Alpiste Limpo - Pelisari Sementes | Marca: Pelisari Sementes | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Alpiste Limpo - Pelisari Sementes</h2>\n<p>Produto <strong>Pelisari Sementes</strong> da linha Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Pelisari Sementes</li>\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,10,,0,0,,,,,1,,,"14,15",Passaros,"Passaros, Pelisari Sementes",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/3103.jpg,,,,,,,,,0,Pelisari Sementes,Marca,Pelisari Sementes,1,1
52994,simple,4781,,Aveia S/ Casca 500G - Pelisari Sementes,0,0,visible,Aveia S/ Casca 500G - Pelisari Sementes | Marca: Pelisari Sementes | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Aveia S/ Casca 500G - Pelisari Sementes</h2>\n<p>Produto <strong>Pelisari Sementes</strong> da linha Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.500 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Pelisari Sementes</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.500 Kg (1x 0.500 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,0.5,,,,1,,,"10,00",Passaros,"Passaros, Pelisari Sementes",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/4781.jpg,,,,,,,,,0,Pelisari Sementes,Marca,Pelisari Sementes,1,1
53047,simple,3625,,Banheira Oval Grande,1,0,visible,Banheira Oval Grande | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Banheira Oval Grande</h2>\n<p>Produto de alta qualidade da categoria Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,9,,0,0,,,,,1,,,"8,00",Passaros,Passaros,,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/3625.jpg,,,,,,,,,0,,,,,
53049,simple,4308,,Banheira Oval Médio - Londrina,1,0,visible,Banheira Oval Médio - Londrina | Marca: Londrina | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Banheira Oval Médio - Londrina</h2>\n<p>Produto <strong>Londrina</strong> da linha Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Londrina</li>\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,7,,0,0,,,,,1,,,"6,00",Passaros,"Londrina, Passaros",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/4308.jpg,,,,,,,,,0,Londrina,Marca,Londrina,1,1
53064,simple,7898494930421,,Bebedouro Beija Flor Especial C/ Bandeja - Pet Fish,1,0,visible,Bebedouro Beija Flor Especial C/ Bandeja - Pet Fish | Marca: Pet Fish | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bebedouro Beija Flor Especial C/ Bandeja - Pet Fish</h2>\n<p>Produto <strong>Pet Fish</strong> da linha Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Pet Fish</li>\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,8,,0,0,,,,,1,,,"12,99",Passaros,"Passaros, Pet Fish",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/7898494930421.jpg,,,,,,,,,0,Pet Fish,Marca,Pet Fish,1,1
53066,simple,7898506657186,,Bebedouro Beija Flor Gold Bf6 - Jorani,1,0,visible,Bebedouro Beija Flor Gold Bf6 - Jorani | Marca: Jorani | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bebedouro Beija Flor Gold Bf6 - Jorani</h2>\n<p>Produto <strong>Jorani</strong> da linha Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Jorani</li>\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,11,,0,0,,,,,1,,,"22,00",Passaros,"Jorani, Passaros",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/7898506657186.png,,,,,,,,,0,Jorani,Marca,Jorani,1,1
53070,simple,7898593580022,,Bebedouro Codorna/Pintinho - Petsol,1,0,visible,Bebedouro Codorna/Pintinho - Petsol | Marca: Petsol | Categoria: Aves | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bebedouro Codorna/Pintinho - Petsol</h2>\n<p>Produto <strong>Petsol</strong> da linha Aves. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Petsol</li>\n  <li>📦 <strong>Categoria:</strong> Aves</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"14,00","Aves, Passaros","Aves, Petsol",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/7898593580022.webp,,,,,,,,,0,Petsol,Marca,Petsol,1,1
53077,simple,1177,,Bebedouro Pássaro Médio 100Ml - Jel Plast,1,0,visible,Bebedouro Pássaro Médio 100Ml - Jel Plast | Marca: Jel Plast | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bebedouro Pássaro Médio 100Ml - Jel Plast</h2>\n<p>Produto <strong>Jel Plast</strong> da linha Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.100 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Jel Plast</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.100 Kg (1x 0.100 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,4,,0,0,0.1,,,,1,,,"5,00",Passaros,"Jel Plast, Passaros",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/1177.jpg,,,,,,,,,0,Jel Plast,Marca,Jel Plast,1,1
53079,simple,3630,,Bebedouro Pássaro Médio Christino 100Ml - Londrina,1,0,visible,Bebedouro Pássaro Médio Christino 100Ml - Londrina | Marca: Londrina | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bebedouro Pássaro Médio Christino 100Ml - Londrina</h2>\n<p>Produto <strong>Londrina</strong> da linha Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>0.100 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Londrina</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 0.100 Kg (1x 0.100 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,9,,0,0,0.1,,,,1,,,"5,00",Passaros,"Londrina, Passaros",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/3630.jpg,,,,,,,,,0,Londrina,Marca,Londrina,1,1
53257,simple,5199,,Bolsa Transporte P/ Calopsita - Cia Do Pet,1,0,visible,Bolsa Transporte P/ Calopsita - Cia Do Pet | Marca: Cia Do Pet | Categoria: Passaros | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bolsa Transporte P/ Calopsita - Cia Do Pet</h2>\n<p>Produto <strong>Cia Do Pet</strong> da linha Passaros. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Cia Do Pet</li>\n  <li>📦 <strong>Categoria:</strong> Passaros</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"89,90",Passaros,"Cia Do Pet, Passaros",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/passaros/5199.jpg,,,,,,,,,0,Cia Do Pet,Marca,Cia Do Pet,1,1
