ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status do imposto,Classe de imposto,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vendido individualmente?,Peso (kg),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Observação de compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Limite de downloads,Dias para expirar o download,Ascendente,Grupo de produtos,Upsells,Venda cruzada,URL externa,Texto do botão,Posição,Marcas,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1
52812,simple,5131,,Agulha Para Carangueijo 1Pc - Moreira,1,0,visible,Agulha Para Carangueijo 1Pc - Moreira | Marca: Moreira | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Agulha Para Carangueijo 1Pc - Moreira</h2>\n<p>Produto <strong>Moreira</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Moreira</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"10,00",Pesca,"Moreira, Pesca",,,,,,,,,,,0,Moreira,Marca,Moreira,1.0,1.0
52813,simple,1280,,Agulha Para Caranguejo 2 Peça - Moreira,1,0,visible,Agulha Para Caranguejo 2 Peça - Moreira | Marca: Moreira | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Agulha Para Caranguejo 2 Peça - Moreira</h2>\n<p>Produto <strong>Moreira</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Moreira</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"19,90",Pesca,"Moreira, Pesca",,,,,,,,,,,0,Moreira,Marca,Moreira,1.0,1.0
52814,simple,4033,,Agulha Para Rede N 01 - Geral,1,0,visible,Agulha Para Rede N 01 - Geral | Marca: Geral | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Agulha Para Rede N 01 - Geral</h2>\n<p>Produto <strong>Geral</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Geral</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,6,,0,0,,,,,1,,,"6,90",Pesca,"Geral, Pesca",,,,,,,,,,,0,Geral,Marca,Geral,1.0,1.0
52815,simple,4032,,Agulha Para Rede N 02 - Geral,1,0,visible,Agulha Para Rede N 02 - Geral | Marca: Geral | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Agulha Para Rede N 02 - Geral</h2>\n<p>Produto <strong>Geral</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Geral</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,7,,0,0,,,,,1,,,"8,00",Pesca,"Geral, Pesca",,,,,,,,,,,0,Geral,Marca,Geral,1.0,1.0
52832,simple,2155,,Amarrador De Anzol Yhb 300,1,0,visible,Amarrador De Anzol Yhb 300 | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Amarrador De Anzol Yhb 300</h2>\n<p>Produto de alta qualidade da categoria Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,,,,,1,,,"88,00",Pesca,Pesca,,,,,,,,,,,0,,,,,
52841,simple,7898505876717,,Anteninha Barao Borboleta Eva 9Mm - Boias Barão,1,0,visible,Anteninha Barao Borboleta Eva 9Mm - Boias Barão | Marca: Boias Barão | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Anteninha Barao Borboleta Eva 9Mm - Boias Barão</h2>\n<p>Produto <strong>Boias Barão</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Boias Barão</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"12,00",Pesca,"Boias Barão, Pesca",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7898505876717.jpg,,,,,,,,,0,Boias Barão,Marca,Boias Barão,1.0,1.0
52843,simple,7898505876700,,Anteninha Barao Tamba Anzol Eva 9Mm - Boias Barão,1,0,visible,Anteninha Barao Tamba Anzol Eva 9Mm - Boias Barão | Marca: Boias Barão | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Anteninha Barao Tamba Anzol Eva 9Mm - Boias Barão</h2>\n<p>Produto <strong>Boias Barão</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Boias Barão</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,6,,0,0,,,,,1,,,"11,50",Pesca,"Boias Barão, Pesca",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7898505876700.jpg,,,,,,,,,0,Boias Barão,Marca,Boias Barão,1.0,1.0
52845,simple,4659,,Anteninha Cafe C/Leite - Reino Pesca,0,0,visible,Anteninha Cafe C/Leite - Reino Pesca | Marca: Reino Pesca | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Anteninha Cafe C/Leite - Reino Pesca</h2>\n<p>Produto <strong>Reino Pesca</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Reino Pesca</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"10,00",Pesca,"Pesca, Reino Pesca",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/4659-1.jpg,,,,,,,,,0,Reino Pesca,Marca,Reino Pesca,1.0,1.0
52851,simple,4467,,Anteninha Marrom - Reino Pesca,1,0,visible,Anteninha Marrom - Reino Pesca | Marca: Reino Pesca | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Anteninha Marrom - Reino Pesca</h2>\n<p>Produto <strong>Reino Pesca</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Reino Pesca</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"10,00",Pesca,"Pesca, Reino Pesca",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/4467-1.jpg,,,,,,,,,0,Reino Pesca,Marca,Reino Pesca,1.0,1.0
52854,simple,4306,,Anteninha Vermelha - Reino Pesca,1,0,visible,Anteninha Vermelha - Reino Pesca | Marca: Reino Pesca | Categoria: Pesca | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Anteninha Vermelha - Reino Pesca</h2>\n<p>Produto <strong>Reino Pesca</strong> da linha Pesca. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Reino Pesca</li>\n  <li>📦 <strong>Categoria:</strong> Pesca</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"10,00",Pesca,"Pesca, Reino Pesca",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/4306-1.jpg,,,,,,,,,0,Reino Pesca,Marca,Reino Pesca,1.0,1.0
