ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status do imposto,Classe de imposto,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vendido individualmente?,Peso (kg),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Observação de compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Limite de downloads,Dias para expirar o download,Ascendente,Grupo de produtos,Upsells,Venda cruzada,URL externa,Texto do botão,Posição,Marcas,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1
53510,simple,606529496593,,"Cabo Aluminio P/Limpar Piscina 2,0X4M - Stylus",0,0,visible,"Cabo Aluminio P/Limpar Piscina 2,0X4M - Stylus | Marca: Stylus | Categoria: Piscina | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Cabo Aluminio P/Limpar Piscina 2,0X4M - Stylus</h2>\n<p>Produto <strong>Stylus</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Stylus</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,,,,,1,,,"119,90",Piscina,"Piscina, Stylus",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/606529496593.jpg,,,,,,,,,0,Stylus,Marca,Stylus,1,1
54623,simple,7896544403710,,Genco Algicida De Manutencao 1L,1,0,visible,Genco Algicida De Manutencao 1L | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Algicida De Manutencao 1L</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>1.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 1.000 Kg (1x 1.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,3,,0,0,1,,,,1,,,"29,00",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/7896544403710.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
54625,simple,7896544403727,,Genco Algicida Sem Cobre Genpool 1L,1,0,visible,Genco Algicida Sem Cobre Genpool 1L | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Algicida Sem Cobre Genpool 1L</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>1.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 1.000 Kg (1x 1.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,3,,0,0,1,,,,1,,,"42,20",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/7896544403727.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
54627,simple,7896544403673,,Genco Clarificante 1L,1,0,visible,Genco Clarificante 1L | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Clarificante 1L</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>1.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 1.000 Kg (1x 1.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,6,,0,0,1,,,,1,,,"25,00",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/7896544403673.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
54629,simple,7896544402164,,Genco Cloro 3X1 1Kg,0,0,visible,Genco Cloro 3X1 1Kg | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Cloro 3X1 1Kg</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>1.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 1.000 Kg (1x 1.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,-1,,0,0,1,,,,1,,,"33,90",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/2026/01/7896544402164-1.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
54631,simple,7896544402133,,Genco Cloro Multiacao 3X1 10Kg,1,0,visible,Genco Cloro Multiacao 3X1 10Kg | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Cloro Multiacao 3X1 10Kg</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>10.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 10.000 Kg (1x 10.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,3,,0,0,10,,,,1,,,"226,00",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/7896544402133.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
54633,simple,7896544400276,,Genco Estojo Analise Cloro E Ph,1,0,visible,Genco Estojo Analise Cloro E Ph | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Estojo Analise Cloro E Ph</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,,,,,1,,,"68,00",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/7896544400276.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
54635,simple,7896544400818,,Genco Genclor Cloro Concentrado 10Kg,0,0,visible,Genco Genclor Cloro Concentrado 10Kg | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Genclor Cloro Concentrado 10Kg</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>10.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 10.000 Kg (1x 10.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,10,,,,1,,,"249,90",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/7896544400818.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
54639,simple,7896544403758,,Genco Ph Certo Estabilizante 2Kg,1,0,visible,Genco Ph Certo Estabilizante 2Kg | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Ph Certo Estabilizante 2Kg</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>2.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 2.000 Kg (1x 2.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,6,,0,0,2,,,,1,,,"43,00",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/7896544403758.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
54641,simple,7896544403741,,Genco Ph- Liquido Acidulante 1L,1,0,visible,Genco Ph- Liquido Acidulante 1L | Marca: Genco | Categoria: Piscina | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Genco Ph- Liquido Acidulante 1L</h2>\n<p>Produto <strong>Genco</strong> da linha Piscina. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>1.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Genco</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 1.000 Kg (1x 1.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Piscina</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,1,,,,1,,,"28,00",Piscina,"Genco, Piscina",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/piscina/7896544403741.jpg,,,,,,,,,0,Genco,Marca,Genco,1,1
