ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,Em destaque?,Visibilidade no catálogo,Descrição curta,Descrição,Data de preço promocional começa em,Data de preço promocional termina em,Status do imposto,Classe de imposto,Em estoque?,Estoque,Quantidade baixa de estoque,São permitidas encomendas?,Vendido individualmente?,Peso (kg),Comprimento (cm),Largura (cm),Altura (cm),Permitir avaliações de clientes?,Observação de compra,Preço promocional,Preço,Categorias,Tags,Classe de entrega,Imagens,Limite de downloads,Dias para expirar o download,Ascendente,Grupo de produtos,Upsells,Venda cruzada,URL externa,Texto do botão,Posição,Marcas,Nome do atributo 1,Valores do atributo 1,Visibilidade do atributo 1,Atributo global 1
53102,simple,7898242030571,,Bionatural Cães Raças Médias e Grandes Adulto Frango 15Kg - Special Dog,1,0,visible,Bionatural Cães Raças Médias e Grandes Adulto Frango 15Kg - Special Dog | Marca: Special Dog | Categoria: Racao | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bionatural Cães Raças Médias e Grandes Adulto Frango 15Kg - Special Dog</h2>\n<p>Produto <strong>Special Dog</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>15.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Special Dog</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 15.000 Kg (1x 15.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,15.0,,,,1,,,"249,90",Racao,"Racao, Special Dog",,,,,,,,,,,0,Special Dog,Marca,Special Dog,1.0,1.0
53103,simple,7898242030366,,Bionatural Cães Raças Médias e Grandes Junior Frango 20Kg - Special Dog,1,0,visible,Bionatural Cães Raças Médias e Grandes Junior Frango 20Kg - Special Dog | Marca: Special Dog | Categoria: Racao | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bionatural Cães Raças Médias e Grandes Junior Frango 20Kg - Special Dog</h2>\n<p>Produto <strong>Special Dog</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>20.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Special Dog</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 20.000 Kg (1x 20.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,20.0,,,,1,,,"329,90",Racao,"Racao, Special Dog",,,,,,,,,,,0,Special Dog,Marca,Special Dog,1.0,1.0
53105,simple,7898242030083,,"Bionatural Cães Raça Pequena Adulto Frango 10,1Kg1 - Special Dog",1,0,visible,"Bionatural Cães Raça Pequena Adulto Frango 10,1Kg1 - Special Dog | Marca: Special Dog | Categoria: Racao | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Bionatural Cães Raça Pequena Adulto Frango 10,1Kg1 - Special Dog</h2>\n<p>Produto <strong>Special Dog</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>10.100 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Special Dog</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 10.100 Kg (1x 10.100 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,2,,0,0,10.1,,,,1,,,"175,00",Racao,"Racao, Special Dog",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/racao/7898242030083.jpg,,,,,,,,,0,Special Dog,Marca,Special Dog,1.0,1.0
53108,simple,7898242030199,,Bionatural Cães Raça Pequena Senior Frango 15Kg - Special Dog,1,0,visible,Bionatural Cães Raça Pequena Senior Frango 15Kg - Special Dog | Marca: Special Dog | Categoria: Racao | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Bionatural Cães Raça Pequena Senior Frango 15Kg - Special Dog</h2>\n<p>Produto <strong>Special Dog</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>15.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Special Dog</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 15.000 Kg (1x 15.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,3,,0,0,15.0,,,,1,,,"259,90",Racao,"Racao, Special Dog",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/racao/7898242030199.jpg,,,,,,,,,0,Special Dog,Marca,Special Dog,1.0,1.0
54691,simple,7897348205319,,Golden Cães Adulto Carne Mini Bits 15Kg - Premier,1,0,visible,Golden Cães Adulto Carne Mini Bits 15Kg - Premier | Marca: Premier | Categoria: Racao | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Golden Cães Adulto Carne Mini Bits 15Kg - Premier</h2>\n<p>Produto <strong>Premier</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>15.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Premier</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 15.000 Kg (1x 15.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,6,,0,0,15.0,,,,1,,,"179,90",Racao,"Premier, Racao",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/racao/7897348205319.jpg,,,,,,,,,0,Premier,Marca,Premier,1.0,1.0
54693,simple,7897348201090,,Golden Cães Adulto Mega 15Kg - Premier,1,0,visible,Golden Cães Adulto Mega 15Kg - Premier | Marca: Premier | Categoria: Racao | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Golden Cães Adulto Mega 15Kg - Premier</h2>\n<p>Produto <strong>Premier</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>15.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Premier</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 15.000 Kg (1x 15.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,1,,0,0,15.0,,,,1,,,"179,90",Racao,"Premier, Racao",,,,,,,,,,,0,Premier,Marca,Premier,1.0,1.0
54695,simple,7897348203803,,Golden Cães Adulto Power Training 15Kg - Premier,1,0,visible,Golden Cães Adulto Power Training 15Kg - Premier | Marca: Premier | Categoria: Racao | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Golden Cães Adulto Power Training 15Kg - Premier</h2>\n<p>Produto <strong>Premier</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>15.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Premier</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 15.000 Kg (1x 15.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,3,,0,0,15.0,,,,1,,,"185,00",Racao,"Premier, Racao",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/racao/7897348203803.jpg,,,,,,,,,0,Premier,Marca,Premier,1.0,1.0
55108,simple,7897348207306,,Premier Nutri. Clinica Cães Hip. Mandioca Raça Pequena 2Kg,0,0,visible,Premier Nutri. Clinica Cães Hip. Mandioca Raça Pequena 2Kg | Marca: Premier | Categoria: Racao | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Premier Nutri. Clinica Cães Hip. Mandioca Raça Pequena 2Kg</h2>\n<p>Produto <strong>Premier</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>2.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Premier</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 2.000 Kg (1x 2.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,2.0,,,,1,,,"99,90",Racao,"Premier, Racao",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/racao/7897348207306.jpg,,,,,,,,,0,Premier,Marca,Premier,1.0,1.0
55110,simple,7897348203933,,"Premier Shih Tzu Adulto 1,0Kg",1,0,visible,"Premier Shih Tzu Adulto 1,0Kg | Marca: Premier | Categoria: Racao | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Premier Shih Tzu Adulto 1,0Kg</h2>\n<p>Produto <strong>Premier</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>1.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Premier</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 1.000 Kg (1x 1.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,5,,0,0,1.0,,,,1,,,"55,00",Racao,"Premier, Racao",,,,,,,,,,,0,Premier,Marca,Premier,1.0,1.0
55111,simple,7897348203957,,"Premier Shih Tzu Adulto 7,5Kg",0,0,visible,"Premier Shih Tzu Adulto 7,5Kg | Marca: Premier | Categoria: Racao | AquaFlora Agroshop","<div class=""product-description"">\n<h2>Premier Shih Tzu Adulto 7,5Kg</h2>\n<p>Produto <strong>Premier</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>7.500 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Premier</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 7.500 Kg (1x 7.500 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,0,0,,0,0,7.5,,,,1,,,"214,00",Racao,"Premier, Racao",,https://aquafloragroshop.com.br/wp-content/uploads/produtos/racao/7897348203957.jpg,,,,,,,,,0,Premier,Marca,Premier,1.0,1.0
55134,simple,7896181212089,,Royal Canin Mini Adulto 1Kg,1,0,visible,Royal Canin Mini Adulto 1Kg | Marca: Royal Canin | Categoria: Racao | AquaFlora Agroshop,"<div class=""product-description"">\n<h2>Royal Canin Mini Adulto 1Kg</h2>\n<p>Produto <strong>Royal Canin</strong> da linha Racao. Disponível na <strong>AquaFlora Agroshop</strong> com <strong>1.000 Kg</strong> e melhor custo-benefício.</p>\n<ul class=""product-features"">\n  <li>🏷️ <strong>Marca:</strong> Royal Canin</li>\n    <li>⚖️ <strong>Peso/Conteúdo:</strong> 1.000 Kg (1x 1.000 Kg)</li>\n  <li>📦 <strong>Categoria:</strong> Racao</li>\n  <li>✅ <strong>Produto Original</strong> com garantia</li>\n  <li>🚚 <strong>Entrega Rápida</strong> para todo o Brasil</li>\n  <li>💳 <strong>Diversas formas de pagamento</strong></li>\n</ul>\n<div class=""cta-section"">\n<p>📞 <strong>Dúvidas?</strong> Nossa equipe está pronta para ajudar!</p>\n<p>⭐ <strong>AquaFlora Agroshop</strong> - Sua loja de confiança!</p>\n</div>\n</div>",,,taxable,,1,5,,0,0,1.0,,,,1,,,"66,00",Racao,"Racao, Royal Canin",,,,,,,,,,,0,Royal Canin,Marca,Royal Canin,1.0,1.0
