lote,familia_ou_produto,qtd_skus,skus,preco_min,preco_max,estoque_total,categoria_woo,imagem_principal,observacao
1,Carretilha Cmik 8.1 E,1,8800550850900,"239,90","239,90",4,"Pesca > Carretilha, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/cmik-carre.webp,an?ncio simples
1,Carretilha Fox Shil 7Rol Zest,1,7908137906321,"339,00","339,00",1,"Pesca > Carretilha, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7908137906321__carretilha-fox-shil-7rol-zest.jpg,an?ncio simples
1,Carretilha Jws (Direito) Tb733,1,7890700054822,"599,00","599,00",1,"Pesca > Carretilha, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7890700054822__carretilha-jws-direito-tb733.png,an?ncio simples
1,Carretilha Jws (Esquerdo) Tb734,1,7890700054839,"599,00","599,00",1,"Pesca > Carretilha, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7890700054839__carretilha-jws-esquerdo-tb734.jpg,an?ncio simples
1,Carretilha Staco Digital L Cmik,1,8800550803340,"549,00","549,00",1,"Pesca > Carretilha, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803340__carretilha-staco-digital-l-cmik.webp,an?ncio simples
1,Carretilha Ventura Vt-5 Shi 5Rol Marine Sports,1,7908137903993,"320,00","320,00",2,"Pesca > Carretilha, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7908137903993__carretilha-ventura-vt-5-shi-5rol-marine-sports.jpg,an?ncio simples
1,Molinete Bk1000 Cmik,1,8800550803364,"199,00","199,00",2,"Pesca > Molinete, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803364__molinete-bk1000-cmik.jpg,an?ncio simples
1,Molinete Bk2000 Cmik,1,8800550803371,"200,00","200,00",1,"Pesca > Molinete, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803371__molinete-bk2000-cmik.jpg,an?ncio simples
1,Molinete Bk3000 Cmik,1,8800550803388,"205,00","205,00",1,"Pesca > Molinete, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803388__molinete-bk3000-cmik.jpg,an?ncio simples
1,Molinete Bk4000 Cmik,1,8800550803395,"210,00","210,00",1,"Pesca > Molinete, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803395__molinete-bk4000-cmik.jpg,an?ncio simples
2,Isca Bay Hunter - Marine Sports,2,7908137906741 | 7908137906758,"43,50","43,50",4,"Pesca > Iscas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/envio-13.webp,agrupar como varia??es no ML quando fizer sentido
2,Isca Brava Grand - Marine Sports,1,7908137904396,"65,00","65,00",2,"Pesca > Iscas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/pesca-isca-artificial-isca-artificial-marine-sports-brava-grand-100-10cm-23-9g-varias-cores-1664826231241.png,an?ncio simples
2,Isca Inna - Marine Sports,2,7908137905065 | 7908137905010,"43,90","46,90",4,"Pesca > Iscas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/ebdd64e6a3.webp,agrupar como varia??es no ML quando fizer sentido
2,Linha Dourado 250Gr - Mazzaferro,3,7891289030917 | 7891289030900 | 7891289030856,"55,00","59,90",7,"Pesca > Linhas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-dourado-250gr-mazzaferro__linha-dourado-250gr-mazzaferro.jpg,agrupar como varia??es no ML quando fizer sentido
2,Linha Vexter Power Leader - Marine Sports,2,7908137909308 | 7908137909292,"56,00","59,90",4,"Pesca > Linhas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-vexter-power-leader-marine-sports__linha-vexter-power-leader-marine-sports.jpg,agrupar como varia??es no ML quando fizer sentido
3,Anzol Marine 16902 Crystal,2,7898480925080 | 7898480921143,"33,00","35,00",18,"Pesca > Anzóis, Pesca > Anz?is, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-anzol-marine-16902-crystal__anzol-marine-16902-crystal.jpg,agrupar como varia??es no ML quando fizer sentido
3,Boia Cevadeira - Boias Barão,1,7898515876592,"25,90","25,90",8,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Boias, Pesca > Acessorios Pesca > Boias, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-boia-boia-cevadeira-boias-barao__boia-cevadeira-boias-barao.jpg,an?ncio simples
3,Boia Jws 100G 751100G,1,7891527511000,"65,00","65,00",1,"Pesca > Acessórios Pesca, Pesca > Acessorios Pesca > Boias, Pesca > Acessórios Pesca > Boias, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7891527511000__boia-jws-100g-751100g.jpg,an?ncio simples
3,Caixa 1 Bandeja C/ Tampa Hi,1,7898914878166,"59,90","59,90",1,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Caixas & Maletas, Pesca > Acessorios Pesca > Caixas & Maletas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898914878166__caixa-1-bandeja-c-tampa-hi.jpg,an?ncio simples
3,Caixa 2 Bandejas Removiveis Hi,1,7898914878456,"84,90","84,90",1,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Caixas & Maletas, Pesca > Acessorios Pesca > Caixas & Maletas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898914878456__caixa-2-bandejas-removiveis-hi.jpg,an?ncio simples
3,Caixa 6 Bandejas Grande Hi,1,7898914878524,"194,90","194,90",1,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Caixas & Maletas, Pesca > Acessorios Pesca > Caixas & Maletas, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898914878524__caixa-6-bandejas-grande-hi.jpg,an?ncio simples
3,Sabora Funil,3,2954 | 2953 | 2951,"42,00","63,00",15,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Chumbadas & Pesos, Pesca",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/2954__2954.jpg,agrupar como varia??es no ML quando fizer sentido
4,Areia Progato Vida Comfort,1,7898144561043,"129,90","129,90",5,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/0000_7890000023290__PROGATO_VIDA_COMFORT_-_1_8_KG.jpg,an?ncio simples
4,"Bionatural Cães Sensitive Raça Pequena Adultos 2,5 Kg Spe...",1,7898242036481,"98,90","98,90",3,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898242036481__bionatural-caes-sensitive-raca-pequena-adultos-2-5-kg-special-dog.jpg,an?ncio simples
4,Bravecto 4.5 a 10KG MSD,1,8713184136992,"189,90","189,90",4,Pets > Farmácia Veterinária > Antipulgas & Vermífugos,https://aquafloragroshop.com.br/wp-content/uploads/2026/06/51ngRrc8nmL._AC_SL1080_.jpg,an?ncio simples
4,Credeli Gatos 0.9 a 2.0 KG 12MG Elanco,1,5420036978923,"85,00","85,00",3,Pets > Farmácia Veterinária > Antipulgas & Vermífugos,https://aquafloragroshop.com.br/wp-content/uploads/2026/06/Credeli-gatos-12-mg.png,an?ncio simples
4,Golden C?es Bits,2,7897348205265 | 7897348205296,"69,99","75,00",13,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-golden-caes-bits-racoes-sache__golden-caes-bits.jpg,agrupar como varia??es no ML quando fizer sentido
4,Premier Ambientes Internos 2,1,7897348201021,"105,00","105,00",4,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-premier-ambientes-internos-2-racoes-sache__premier-ambientes-internos-2.jpg,an?ncio simples
4,Royal Canin Mini Adulto 1Kg,1,7896181212089,"66,00","66,00",4,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/racao_royal_canin_caes_mini_adulto_para_racas_pequenas_2699_1_fc29d00b719083ef2a85b1964bca74aa.webp,an?ncio simples
4,"Royal Canin Pug Adulto 2,5Kg",1,7896181297840,"155,90","155,90",2,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/Racao-Royal-Canin-Pug-Adulto-Frente.png,an?ncio simples
4,"Royal Canin Shih Tzu Adulto 2,5Kg",1,7896181219088,"149,90","149,90",2,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/Racao-Royal-Canin-Shih-Tzu-Filhotes-3937150-UM-1.webp,an?ncio simples
5,Areia Natural Cats Milho E Mandioca 4Kg Tiger Cats,1,7898746120044,"65,00","65,00",7,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/br-11134207-820ll-mmja0cqhz01ya6.jpg,an?ncio simples
5,Areia Progato Vida Comfort,1,7898144561029,"52,90","52,90",5,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/0000_7890000023290__PROGATO_VIDA_COMFORT_-_1_8_KG.jpg,an?ncio simples
5,Cama Suspensa Com Ventosas -Cb2204 Fluffié,1,7908169018146,"59,90","59,90",1,Pets > Cães > Acessórios Cães,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7908169018146__cama-suspensa-com-ventosas-cb2204-fluffie.jpg,an?ncio simples
5,Cloresten Shampoo 200Ml Agener União,1,7896006227205,"129,90","129,90",1,Pets > Cães > Higiene Cães,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7896006227205__cloresten-shampoo-200ml-agener-uniao.jpg,an?ncio simples
5,Comedouro C?o,1,7898229167290,"49,99","49,99",7,Pets > Cães > Acessórios Cães,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/IMG_3837-scaled.jpeg,an?ncio simples
5,Kit Shampoo Condicionador 1 Colonia Sanol Dog,1,7896183307431,"65,00","65,00",1,Pets > Cães > Higiene Cães,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7896183307431__kit-shampoo-condicionador-1-colonia-sanol-dog.jpg,an?ncio simples
5,Maquina De Tosa B-Max,1,7893095814514,"135,00","135,00",1,Pets > Cães > Higiene Cães,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/D_NQ_NP_994786-MLB81945241908_022025-O.webp,an?ncio simples
5,Tapete Gel Refrescante 40X50Cm Western,1,7897186078199,"72,00","72,00",2,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/D_NQ_NP_932659-MLB40305689609_012020-O.webp,an?ncio simples
5,Tapete Hig Pups,1,7898586935822,"69,90","69,90",4,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/a39d52cbc2.webp,an?ncio simples
5,Tapete Hig Sanol Dog,1,7896183315467,"45,00","45,00",6,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-tapete-hig-sanol-dog-areias-tapet__tapete-hig-sanol-dog.jpg,an?ncio simples
