lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
2,1,iscas_e_linhas,7908137904396,variation,Isca Brava Grand Marine Sports 100 Cor-024,Isca Brava Grand - Marine Sports - 100 Cor-024,"65,00",2,,Marine Sports,"Pesca > Iscas, Pesca",Isca Brava Grand - Marine Sports,Cor/Modelo: 100 Cor-024,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/pesca-isca-artificial-isca-artificial-marine-sports-brava-grand-100-10cm-23-9g-varias-cores-1664826231241.png,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,2,iscas_e_linhas,7908137905065,variation,Isca Inna Marine Sports 90 Hgt,Isca Inna - Marine Sports - 90 Hgt,"46,90",2,,Marine Sports,"Pesca > Iscas, Pesca",Isca Inna - Marine Sports,Cor/Modelo: 90 Hgt,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/ebdd64e6a3.webp,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,3,iscas_e_linhas,7908137905010,variation,Isca Inna Marine Sports 70 Hot,Isca Inna - Marine Sports - 70 Hot,"43,90",2,,Marine Sports,"Pesca > Iscas, Pesca",Isca Inna - Marine Sports,Cor/Modelo: 70 Hot,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/ebdd64e6a3.webp,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,4,iscas_e_linhas,7908137906741,variation,Isca Bay Hunter Marine Sports 70,Isca Bay Hunter - Marine Sports - 70,"43,50",2,,Marine Sports,"Pesca > Iscas, Pesca",Isca Bay Hunter - Marine Sports,Cor/Modelo: 70,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/envio-13.webp,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,5,iscas_e_linhas,7908137906758,variation,Isca Bay Hunter Marine Sports 70,Isca Bay Hunter - Marine Sports - 70,"43,50",2,,Marine Sports,"Pesca > Iscas, Pesca",Isca Bay Hunter - Marine Sports,Cor/Modelo: 70,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/envio-13.webp,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,6,iscas_e_linhas,7891289030917,variation,Linha Dourado 250Gr Mazzaferro 0.60Mm,Linha Dourado 250Gr - Mazzaferro - 0.60Mm,"59,90",3,,Mazzaferro,"Pesca > Linhas, Pesca",Linha Dourado 250Gr - Mazzaferro,Medida: 0.60Mm,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-dourado-250gr-mazzaferro__linha-dourado-250gr-mazzaferro.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,7,iscas_e_linhas,7891289030900,variation,Linha Dourado 250Gr Mazzaferro 0.50Mm,Linha Dourado 250Gr - Mazzaferro - 0.50Mm,"59,90",2,,Mazzaferro,"Pesca > Linhas, Pesca",Linha Dourado 250Gr - Mazzaferro,Medida: 0.50Mm,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-dourado-250gr-mazzaferro__linha-dourado-250gr-mazzaferro.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,8,iscas_e_linhas,7908137909308,variation,Linha Vexter Power Leader Marine Sports 15.9Lb / 0.33Mm,Linha Vexter Power Leader - Marine Sports - 15.9Lb / 0.33Mm,"59,90",2,,Marine Sports,"Pesca > Linhas, Pesca",Linha Vexter Power Leader - Marine Sports,Medida: 15.9Lb / 0.33Mm,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-vexter-power-leader-marine-sports__linha-vexter-power-leader-marine-sports.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,9,iscas_e_linhas,7908137909292,variation,Linha Vexter Power Leader Marine Sports 13Lb / 0.28Mm,Linha Vexter Power Leader - Marine Sports - 13Lb / 0.28Mm,"56,00",2,,Marine Sports,"Pesca > Linhas, Pesca",Linha Vexter Power Leader - Marine Sports,Medida: 13Lb / 0.28Mm,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-vexter-power-leader-marine-sports__linha-vexter-power-leader-marine-sports.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,10,iscas_e_linhas,7891289030856,variation,Linha Dourado 250Gr Mazzaferro 0.25Mm,Linha Dourado 250Gr - Mazzaferro - 0.25Mm,"55,00",2,,Mazzaferro,"Pesca > Linhas, Pesca",Linha Dourado 250Gr - Mazzaferro,Medida: 0.25Mm,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-dourado-250gr-mazzaferro__linha-dourado-250gr-mazzaferro.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
