lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
3,1,acessorios_pesca,2954,variation,Sabora Funil N 5,Sabora Funil - N 5,"63,00",5,,,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Chumbadas & Pesos, Pesca",Sabora Funil,Numero/Peso: N 5,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/2954__2954.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,2,acessorios_pesca,2953,variation,Sabora Funil N 4,Sabora Funil - N 4,"60,20",5,,,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Chumbadas & Pesos, Pesca",Sabora Funil,Numero/Peso: N 4,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/2953__2953.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,3,acessorios_pesca,2951,variation,Sabora Funil N 3,Sabora Funil - N 3,"42,00",5,,,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Chumbadas & Pesos, Pesca",Sabora Funil,Numero/Peso: N 3,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/2951__2951.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,4,acessorios_pesca,7898914878524,simple,Caixa 6 Bandejas Grande Hi,Caixa 6 Bandejas Grande - Hi,"194,90",1,,Hi,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Caixas & Maletas, Pesca > Acessorios Pesca > Caixas & Maletas, Pesca",,Modelo: 7898914878524,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898914878524__caixa-6-bandejas-grande-hi.jpg,ok,,sem GTIN/EAN no campo Woo
3,5,acessorios_pesca,7898914878456,simple,Caixa 2 Bandejas Removiveis Hi,Caixa 2 Bandejas Removiveis - Hi,"84,90",1,,Hi,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Caixas & Maletas, Pesca > Acessorios Pesca > Caixas & Maletas, Pesca",,Modelo: 7898914878456,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898914878456__caixa-2-bandejas-removiveis-hi.jpg,ok,,sem GTIN/EAN no campo Woo
3,6,acessorios_pesca,7891527511000,simple,Boia Jws 100G 751100G,Boia Jws 100G - 751100G,"65,00",1,,Jws,"Pesca > Acessórios Pesca, Pesca > Acessorios Pesca > Boias, Pesca > Acessórios Pesca > Boias, Pesca",,Modelo: 7891527511000,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7891527511000__boia-jws-100g-751100g.jpg,ok,,sem GTIN/EAN no campo Woo
3,7,acessorios_pesca,7898914878166,simple,Caixa 1 Bandeja C/ Tampa Hi,Caixa 1 Bandeja C/ Tampa - Hi,"59,90",1,,Hi,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Caixas & Maletas, Pesca > Acessorios Pesca > Caixas & Maletas, Pesca",,Modelo: 7898914878166,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898914878166__caixa-1-bandeja-c-tampa-hi.jpg,ok,,sem GTIN/EAN no campo Woo
3,8,acessorios_pesca,7898480925080,variation,Anzol Marine 16902 Crystal 02,Anzol Marine 16902 Crystal - 02,"33,00",10,,Marine,"Pesca > Anzóis, Pesca > Anz?is, Pesca",Anzol Marine 16902 Crystal,Numero: 02,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-anzol-marine-16902-crystal__anzol-marine-16902-crystal.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,9,acessorios_pesca,7898480921143,variation,Anzol Marine 16902 Crystal 01,Anzol Marine 16902 Crystal - 01,"35,00",8,,Marine,"Pesca > Anzóis, Pesca > Anz?is, Pesca",Anzol Marine 16902 Crystal,Numero: 01,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-anzol-marine-16902-crystal__anzol-marine-16902-crystal.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,10,acessorios_pesca,7898515876592,variation,Boia Cevadeira Boias Barão Tamba 45G,Boia Cevadeira - Boias Barão - Tamba 45G,"25,90",8,,Boias Barão,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Boias, Pesca > Acessorios Pesca > Boias, Pesca",Boia Cevadeira - Boias Barão,Modelo/Peso: Tamba 45G,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-boia-boia-cevadeira-boias-barao__boia-cevadeira-boias-barao.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
