lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
4,1,racoes_pet_premium,7897348205265,variation,Golden C?es Bits 3Kg / Carne / SKU 7897348205265,Golden C?es Bits - 3Kg / Carne / SKU 7897348205265,"69,99",9,,Premier,"Ra??o, Pets > Cães > Rações Cães",Golden C?es Bits,Opc?o: 3Kg / Carne / SKU 7897348205265,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-golden-caes-bits-racoes-sache__golden-caes-bits.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
4,2,racoes_pet_premium,7898144561043,variation,Areia Progato Vida Comfort 10Kg,Areia Progato Vida Comfort - 10Kg,"129,90",5,,Progato,Pets > Gatos > Areias & Higiene,Areia Progato Vida Comfort,Opc?o: 10Kg,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/0000_7890000023290__PROGATO_VIDA_COMFORT_-_1_8_KG.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
4,3,racoes_pet_premium,8713184136992,simple,Bravecto 4.5 a 10KG MSD,Bravecto 4.5 a 10KG - MSD,"189,90",4,,Msd,Pets > Farmácia Veterinária > Antipulgas & Vermífugos,,Marca: Msd,https://aquafloragroshop.com.br/wp-content/uploads/2026/06/51ngRrc8nmL._AC_SL1080_.jpg,ok,,sem GTIN/EAN no campo Woo
4,4,racoes_pet_premium,7897348201021,variation,Premier Ambientes Internos 2 2,Premier Ambientes Internos 2 - 2,"105,00",4,,Premier,"Ra??o, Pets > Cães > Rações Cães",Premier Ambientes Internos 2,Opc?o: 2,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-premier-ambientes-internos-2-racoes-sache__premier-ambientes-internos-2.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
4,5,racoes_pet_premium,7897348205296,variation,Golden C?es Bits 3Kg / Carne / SKU 7897348205296,Golden C?es Bits - 3Kg / Carne / SKU 7897348205296,"75,00",4,,Premier,"Ra??o, Pets > Cães > Rações Cães",Golden C?es Bits,Opc?o: 3Kg / Carne / SKU 7897348205296,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-golden-caes-bits-racoes-sache__golden-caes-bits.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
4,6,racoes_pet_premium,7896181212089,simple,Royal Canin Mini Adulto 1Kg,Royal Canin Mini Adulto 1Kg,"66,00",4,,Royal Canin,"Ra??o, Pets > Cães > Rações Cães",,Marca: Royal Canin,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/racao_royal_canin_caes_mini_adulto_para_racas_pequenas_2699_1_fc29d00b719083ef2a85b1964bca74aa.webp,ok,,sem GTIN/EAN no campo Woo
4,7,racoes_pet_premium,7898242036481,simple,"Bionatural Cães Sensitive Raça Pequena Adultos 2,5 Kg Spe...","Bionatural Cães Sensitive Raça Pequena Adultos 2,5 Kg - Special Dog","98,90",3,,Special Dog,"Ra??o, Pets > Cães > Rações Cães",,Marca: Special Dog,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898242036481__bionatural-caes-sensitive-raca-pequena-adultos-2-5-kg-special-dog.jpg,ok,,sem GTIN/EAN no campo Woo
4,8,racoes_pet_premium,5420036978923,simple,Credeli Gatos 0.9 a 2.0 KG 12MG Elanco,Credeli Gatos 0.9 a 2.0 KG 12MG - Elanco,"85,00",3,,Elanco,Pets > Farmácia Veterinária > Antipulgas & Vermífugos,,Marca: Elanco,https://aquafloragroshop.com.br/wp-content/uploads/2026/06/Credeli-gatos-12-mg.png,ok,,sem GTIN/EAN no campo Woo
4,9,racoes_pet_premium,7896181297840,simple,"Royal Canin Pug Adulto 2,5Kg","Royal Canin Pug Adulto 2,5Kg","155,90",2,,Royal Canin,"Ra??o, Pets > Cães > Rações Cães",,Marca: Royal Canin,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/Racao-Royal-Canin-Pug-Adulto-Frente.png,ok,,sem GTIN/EAN no campo Woo
4,10,racoes_pet_premium,7896181219088,simple,"Royal Canin Shih Tzu Adulto 2,5Kg","Royal Canin Shih Tzu Adulto 2,5Kg","149,90",2,,Royal Canin,"Ra??o, Pets > Cães > Rações Cães",,Marca: Royal Canin,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/Racao-Royal-Canin-Shih-Tzu-Filhotes-3937150-UM-1.webp,ok,,sem GTIN/EAN no campo Woo
