lote,familia_ou_produto,qtd_skus,skus,preco_min,preco_max,estoque_total,categoria_woo,imagem_principal,observacao
1,"Bionatural Cães Sensitive Raça Pequena Adultos 2,5 Kg Spe...",1,7898242036481,"98,90","98,90",3,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898242036481__bionatural-caes-sensitive-raca-pequena-adultos-2-5-kg-special-dog.jpg,an?ncio simples
1,Golden C?es Bits,4,7897348205258 | 7897348205265 | 7897348205289 | 7897348205296,"29,99","75,00",34,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-golden-caes-bits-racoes-sache__golden-caes-bits.jpg,agrupar como varia??es no ML quando fizer sentido
1,Premier Ambientes Internos 2,1,7897348201021,"105,00","105,00",4,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-premier-ambientes-internos-2-racoes-sache__premier-ambientes-internos-2.jpg,an?ncio simples
1,Royal Canin Mini Adulto 1Kg,1,7896181212089,"66,00","66,00",4,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/racao_royal_canin_caes_mini_adulto_para_racas_pequenas_2699_1_fc29d00b719083ef2a85b1964bca74aa.webp,an?ncio simples
1,Sache Special Dog,3,7898242033053 | 7898242033077 | 7898242033046,"3,20","3,20",480,"Ra??o, Pets > Cães > Rações Cães",https://aquafloragroshop.com.br/wp-content/uploads/2026/05/sache-special-dog-ultralife-adultos-sabor-frango-c91o3-20250313142102.png,bom candidato para kit/combina??o no ML
2,Areia Natural Cats Milho E Mandioca 4Kg Tiger Cats,1,7898746120044,"65,00","65,00",7,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/br-11134207-820ll-mmja0cqhz01ya6.jpg,an?ncio simples
2,Areia Pipicat Classic,1,7896273800033,"16,00","16,00",22,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-areia-pipicat-classic-areias-tapet__areia-pipicat-classic.jpg,an?ncio simples
2,Areia Pipicat Floral,1,7896273805182,"25,00","25,00",5,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-areia-pipicat-floral-areias-tapet__areia-pipicat-floral.jpg,an?ncio simples
2,Areia Progato Vida Comfort,2,7898144561043 | 7898144561029,"52,90","129,90",10,Pets > Gatos > Areias & Higiene,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/0000_7890000023290__PROGATO_VIDA_COMFORT_-_1_8_KG.jpg,agrupar como varia??es no ML quando fizer sentido
2,Shampoo E Condicionador Sanol 500Ml,1,7896183301385,"26,00","26,00",4,Pets > Cães > Higiene Cães,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7896183301385__shampoo-e-condicionador-sanol-500ml.webp,an?ncio simples
