lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
2,1,pet_higiene_recompra,7896273800033,variation,Areia Pipicat Classic 4Kg,Areia Pipicat Classic - 4Kg,"16,00",22,,Kelco,Pets > Gatos > Areias & Higiene,Areia Pipicat Classic,Opc?o: 4Kg,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-areia-pipicat-classic-areias-tapet__areia-pipicat-classic.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,2,pet_higiene_recompra,7898746120044,simple,Areia Natural Cats Milho E Mandioca 4Kg Tiger Cats,Areia Natural Cats Milho E Mandioca 4Kg - Tiger Cats,"65,00",7,,Tiger Cats,Pets > Gatos > Areias & Higiene,,Marca: Tiger Cats,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/br-11134207-820ll-mmja0cqhz01ya6.jpg,ok,,sem GTIN/EAN no campo Woo
2,3,pet_higiene_recompra,7896183315467,variation,Tapete Hig Sanol Dog 14Un,Tapete Hig Sanol Dog - 14Un,"45,00",6,,Sanol,Pets > Gatos > Areias & Higiene,Tapete Hig Sanol Dog,Opc?o: 14Un,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-tapete-hig-sanol-dog-areias-tapet__tapete-hig-sanol-dog.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,4,pet_higiene_recompra,7898144561043,variation,Areia Progato Vida Comfort 10Kg,Areia Progato Vida Comfort - 10Kg,"129,90",5,,Progato,Pets > Gatos > Areias & Higiene,Areia Progato Vida Comfort,Opc?o: 10Kg,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/0000_7890000023290__PROGATO_VIDA_COMFORT_-_1_8_KG.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,5,pet_higiene_recompra,7898144561029,variation,Areia Progato Vida Comfort 4Kg,Areia Progato Vida Comfort - 4Kg,"52,90",5,,Progato,Pets > Gatos > Areias & Higiene,Areia Progato Vida Comfort,Opc?o: 4Kg,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/0000_7890000023290__PROGATO_VIDA_COMFORT_-_1_8_KG.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,6,pet_higiene_recompra,7896273805182,variation,Areia Pipicat Floral 4Kg,Areia Pipicat Floral - 4Kg,"25,00",5,,Kelco,Pets > Gatos > Areias & Higiene,Areia Pipicat Floral,Opc?o: 4Kg,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-areia-pipicat-floral-areias-tapet__areia-pipicat-floral.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,7,pet_higiene_recompra,7898586935822,variation,Tapete Hig Pups 30Un / 55X60Cm,Tapete Hig Pups - 30Un / 55X60Cm,"69,90",4,,Pups,Pets > Gatos > Areias & Higiene,Tapete Hig Pups,Opc?o: 30Un / 55X60Cm,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/a39d52cbc2.webp,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,8,pet_higiene_recompra,7896183301767,variation,Shampoo Sanol 500Ml,Shampoo Sanol - 500Ml,"26,00",4,,Sanol,Pets > Cães > Higiene Cães,Shampoo Sanol,Opc?o: 500Ml,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-shampoo-sanol-higiene-banh__shampoo-sanol.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
2,9,pet_higiene_recompra,7896183301385,simple,Shampoo E Condicionador Sanol 500Ml,Shampoo E Condicionador Sanol 500Ml,"26,00",4,,Sanol,Pets > Cães > Higiene Cães,,Marca: Sanol,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7896183301385__shampoo-e-condicionador-sanol-500ml.webp,ok,,sem GTIN/EAN no campo Woo
2,10,pet_higiene_recompra,7896183300845,variation,Shampoo Sanol 500Ml / Neutro,Shampoo Sanol - 500Ml / Neutro,"26,00",3,,Sanol,Pets > Cães > Higiene Cães,Shampoo Sanol,Opc?o: 500Ml / Neutro,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-shampoo-sanol-higiene-banh__shampoo-sanol.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
