lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
3,1,pet_brinquedos,5720,simple,Brinquedo Bola Mini Meadora Toys,Brinquedo Bola Mini - Meadora Toys,"10,00",30,,Meadora Toys,"Pets > Gatos > Acessórios & Brinquedos Gatos, Pets > Brinquedos, Pets > Cães > Brinquedos Cães, Pets",,Marca: Meadora Toys,https://aquafloragroshop.com.br/wp-content/uploads/2026/06/IMG_4043-scaled.jpg,ok,,sem GTIN/EAN no campo Woo
3,2,pet_brinquedos,6976245090271,simple,Brinquedo Mordedor Bola Pisca Cravo Pet Ninho,Brinquedo Mordedor Bola Pisca Cravo - Pet Ninho,"12,00",9,,Pet Ninho,"Pets > Brinquedos, Pets > Cães > Brinquedos Cães, Pets",,Marca: Pet Ninho,https://aquafloragroshop.com.br/wp-content/uploads/2026/06/IMG_4063-scaled.jpeg,ok,,sem GTIN/EAN no campo Woo
3,3,pet_brinquedos,7898602024073,variation,Comedouro Anti Formiga Gato 150Ml / Rosa,Comedouro Anti Formiga Gato - 150Ml / Rosa,"9,00",4,,Pet Injet,Pets > Gatos > Acessórios & Brinquedos Gatos,Comedouro Anti Formiga Gato,Opc?o: 150Ml / Rosa,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/3101748.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,4,pet_brinquedos,7898602024127,variation,Comedouro Anti Formiga Gato 150Ml / Vermelho,Comedouro Anti Formiga Gato - 150Ml / Vermelho,"9,00",4,,Pet Injet,Pets > Gatos > Acessórios & Brinquedos Gatos,Comedouro Anti Formiga Gato,Opc?o: 150Ml / Vermelho,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/3101748.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,5,pet_brinquedos,7898602023458,variation,Comedouro Anti Formiga Gato 150Ml / Azul,Comedouro Anti Formiga Gato - 150Ml / Azul,"9,00",2,,Pet Injet,Pets > Gatos > Acessórios & Brinquedos Gatos,Comedouro Anti Formiga Gato,Opc?o: 150Ml / Azul,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/3101748.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,6,pet_acessorios_giro,7898701923932,simple,Manta Confort Pet Elo Imports,Manta Confort Pet - Elo Imports,"25,00",13,,Elo Imports,Pets > Cães > Acessórios Cães,,Marca: Elo Imports,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/D_NQ_NP_854755-MLA100083731019_122025-O.webp,ok,,sem GTIN/EAN no campo Woo
3,7,pet_acessorios_giro,7897463293109,variation,Comedouro C?o N2,Comedouro C?o - N2,"25,00",11,,Produtos Holanda,Pets > Cães > Acessórios Cães,Comedouro C?o,Opc?o: N2,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/IMG_3837-scaled.jpeg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,8,pet_acessorios_giro,7897463293116,variation,Comedouro C?o N1,Comedouro C?o - N1,"18,00",11,,Produtos Holanda,Pets > Cães > Acessórios Cães,Comedouro C?o,Opc?o: N1,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/IMG_3837-scaled.jpeg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,9,pet_acessorios_giro,7898229167290,variation,Comedouro C?o N4,Comedouro C?o - N4,"49,99",7,,Produtos Holanda,Pets > Cães > Acessórios Cães,Comedouro C?o,Opc?o: N4,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/IMG_3837-scaled.jpeg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
3,10,pet_acessorios_giro,7897463293048,variation,Comedouro C?o N3,Comedouro C?o - N3,"30,00",6,,Produtos Holanda,Pets > Cães > Acessórios Cães,Comedouro C?o,Opc?o: N3,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/IMG_3837-scaled.jpeg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
