lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
4,1,pesca_carretilhas,7890700054822,simple,Carretilha Jws (Direito) Tb733,Carretilha Jws (Direito) Tb733,"599,00",1,,Jws,"Pesca > Carretilha, Pesca",,Marca: Jws,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7890700054822__carretilha-jws-direito-tb733.png,ok,,sem GTIN/EAN no campo Woo
4,2,pesca_carretilhas,7890700054839,simple,Carretilha Jws (Esquerdo) Tb734,Carretilha Jws (Esquerdo) Tb734,"599,00",1,,Jws,"Pesca > Carretilha, Pesca",,Marca: Jws,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7890700054839__carretilha-jws-esquerdo-tb734.jpg,ok,,sem GTIN/EAN no campo Woo
4,3,pesca_carretilhas,8800550803340,simple,Carretilha Staco Digital L Cmik,Carretilha Staco Digital L - Cmik,"549,00",1,,Cmik,"Pesca > Carretilha, Pesca",,Marca: Cmik,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803340__carretilha-staco-digital-l-cmik.webp,ok,,sem GTIN/EAN no campo Woo
4,4,pesca_carretilhas,7908137906321,simple,Carretilha Fox Shil 7Rol Zest,Carretilha Fox Shil 7Rol - Zest,"339,00",1,,Zest,"Pesca > Carretilha, Pesca",,Marca: Zest,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7908137906321__carretilha-fox-shil-7rol-zest.jpg,ok,,sem GTIN/EAN no campo Woo
4,5,pesca_carretilhas,7908137906338,simple,Carretilha Fox Shil 7Rol Zest,Carretilha Fox Shil 7Rol - Zest,"339,00",1,,Zest,"Pesca > Carretilha, Pesca",,Marca: Zest,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/carretilha_zest_fox_7000_shil_shil_07_rol_drag_4kg_rec_7_3_1_32539_1_7d44905cf742a58a107ee50efc47890f_20250918024439.webp,ok,,sem GTIN/EAN no campo Woo
4,6,pesca_molinetes,8800550803395,simple,Molinete Bk4000 Cmik,Molinete Bk4000 - Cmik,"210,00",1,,Cmik,"Pesca > Molinete, Pesca",,Marca: Cmik,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803395__molinete-bk4000-cmik.jpg,ok,,sem GTIN/EAN no campo Woo
4,7,pesca_molinetes,8800550803388,simple,Molinete Bk3000 Cmik,Molinete Bk3000 - Cmik,"205,00",1,,Cmik,"Pesca > Molinete, Pesca",,Marca: Cmik,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803388__molinete-bk3000-cmik.jpg,ok,,sem GTIN/EAN no campo Woo
4,8,pesca_molinetes,8800550803371,simple,Molinete Bk2000 Cmik,Molinete Bk2000 - Cmik,"200,00",1,,Cmik,"Pesca > Molinete, Pesca",,Marca: Cmik,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803371__molinete-bk2000-cmik.jpg,ok,,sem GTIN/EAN no campo Woo
4,9,pesca_molinetes,4710155376375,simple,Molinete Maruri Belga 2000,Molinete Maruri Belga 2000,"199,90",1,,Maruri,"Pesca > Molinete, Pesca",,Marca: Maruri,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/4710155376375__molinete-maruri-belga-2000.jpg,ok,,sem GTIN/EAN no campo Woo
4,10,pesca_molinetes,8800550803364,simple,Molinete Bk1000 Cmik,Molinete Bk1000 - Cmik,"199,00",2,,Cmik,"Pesca > Molinete, Pesca",,Marca: Cmik,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/8800550803364__molinete-bk1000-cmik.jpg,ok,,sem GTIN/EAN no campo Woo
