lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
5,1,pesca_linhas,7908137904341,variation,Linha Saigon X4 Marine Sports 40Lb,Linha Saigon X4 - Marine Sports - 40Lb,"39,90",23,,Marine Sports,"Pesca > Linhas, Pesca",Linha Saigon X4 - Marine Sports,Medida: 40Lb,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-saigon-x4-marine-sports__linha-saigon-x4-marine-sports.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,2,pesca_linhas,7908137904358,variation,Linha Saigon X4 Marine Sports 45Lb,Linha Saigon X4 - Marine Sports - 45Lb,"39,90",23,,Marine Sports,"Pesca > Linhas, Pesca",Linha Saigon X4 - Marine Sports,Medida: 45Lb,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-saigon-x4-marine-sports__linha-saigon-x4-marine-sports.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,3,pesca_linhas,7899000220029,variation,Linha Platinum Xt Ottoni 0.20Mm,Linha Platinum Xt - Ottoni - 0.20Mm,"16,00",20,,Ottoni,"Pesca > Linhas, Pesca",Linha Platinum Xt - Ottoni,Medida: 0.20Mm,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-linha-linha-platinum-xt-ottoni__linha-platinum-xt-ottoni.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,4,pesca_anzois,7898480920962,variation,Anzol Marine 1971N 7/0,Anzol Marine 1971N - 7/0,"15,00",13,,Marine,"Pesca > Anzóis, Pesca > Anz?is, Pesca",Anzol Marine 1971N,Numero: 7/0,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-anzol-marine-1971n__anzol-marine-1971n.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,5,pesca_anzois,7898480924311,variation,Anzol Marine 4330 6/0,Anzol Marine 4330 - 6/0,"9,90",12,,Marine,"Pesca > Anzóis, Pesca > Anz?is, Pesca",Anzol Marine 4330,Numero: 6/0,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-anzol-marine-4330__anzol-marine-4330.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,6,pesca_boias,7898515870453,simple,Eva De Superficie C/20Un Boias Barão,Eva De Superficie C/20Un - Boias Barão,"7,90",39,,Boias Barão,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Boias, Pesca > Acessorios Pesca > Boias, Pesca",,Modelo: 7898515870453,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898515870453__eva-de-superficie-c-20un-boias-barao.jpg,ok,,sem GTIN/EAN no campo Woo
5,7,pesca_boias,4717,variation,Boia Arremesso Jr Esporte E Pesca C/Girador N09,Boia Arremesso - Jr Esporte E Pesca - C/Girador N09,"8,00",17,,Jr Esporte E Pesca,"Pesca > Acessórios Pesca, Pesca > Acessorios Pesca > Boias, Pesca > Acessórios Pesca > Boias, Pesca",Boia Arremesso - Jr Esporte E Pesca,Modelo/Peso: C/Girador N09,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-boia-boia-arremesso-jr-esporte-e-pesca__boia-arremesso-jr-esporte-e-pesca.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,8,pesca_caixas,7898914878524,simple,Caixa 6 Bandejas Grande Hi,Caixa 6 Bandejas Grande - Hi,"194,90",1,,Hi,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Caixas & Maletas, Pesca > Acessorios Pesca > Caixas & Maletas, Pesca",,Modelo: 7898914878524,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898914878524__caixa-6-bandejas-grande-hi.jpg,ok,,sem GTIN/EAN no campo Woo
5,9,pesca_chumbadas,2549,variation,Chumbada Oliva N 09,Chumbada Oliva - N 09,"8,00",30,,,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Chumbadas & Pesos, Pesca",Chumbada Oliva,Numero/Peso: N 09,https://aquafloragroshop.com.br/wp-content/uploads/2026/06/IMG_3809-scaled.jpeg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
5,10,pesca_chumbadas,2680,variation,Chumbada Oliva N 10,Chumbada Oliva - N 10,"8,00",25,,,"Pesca > Acessórios Pesca, Pesca > Acessórios Pesca > Chumbadas & Pesos, Pesca",Chumbada Oliva,Numero/Peso: N 10,https://aquafloragroshop.com.br/wp-content/uploads/2026/06/IMG_3809-scaled.jpeg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
