lote,ordem_no_lote,grupo,sku,tipo_woo,titulo_mercado_livre,nome_original,preco,estoque,gtin_ean,marca,categoria_woo,familia_variacao,atributo_variacao,imagem_principal,imagem_status,descricao_curta,observacao
1,1,racoes_pet_giro,7897348205258,variation,Golden C?es Bits 1Kg / Carne,Golden C?es Bits - 1Kg / Carne / SKU 7897348205258,"29,99",14,,Premier,"Ra??o, Pets > Cães > Rações Cães",Golden C?es Bits,Opc?o: 1Kg / Carne / SKU 7897348205258,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-golden-caes-bits-racoes-sache__golden-caes-bits.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
1,2,racoes_pet_giro,7897348205265,variation,Golden C?es Bits 3Kg / Carne,Golden C?es Bits - 3Kg / Carne / SKU 7897348205265,"69,99",9,,Premier,"Ra??o, Pets > Cães > Rações Cães",Golden C?es Bits,Opc?o: 3Kg / Carne / SKU 7897348205265,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-golden-caes-bits-racoes-sache__golden-caes-bits.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
1,3,racoes_pet_giro,7897348205289,variation,Golden C?es Bits 1Kg / Carne,Golden C?es Bits - 1Kg / Carne / SKU 7897348205289,"32,00",7,,Premier,"Ra??o, Pets > Cães > Rações Cães",Golden C?es Bits,Opc?o: 1Kg / Carne / SKU 7897348205289,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-golden-caes-bits-racoes-sache__golden-caes-bits.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
1,4,racoes_pet_giro,7897348201021,variation,Premier Ambientes Internos 2 2,Premier Ambientes Internos 2 - 2,"105,00",4,,Premier,"Ra??o, Pets > Cães > Rações Cães",Premier Ambientes Internos 2,Opc?o: 2,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-premier-ambientes-internos-2-racoes-sache__premier-ambientes-internos-2.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
1,5,racoes_pet_giro,7897348205296,variation,Golden C?es Bits 3Kg / Carne,Golden C?es Bits - 3Kg / Carne / SKU 7897348205296,"75,00",4,,Premier,"Ra??o, Pets > Cães > Rações Cães",Golden C?es Bits,Opc?o: 3Kg / Carne / SKU 7897348205296,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/p-pet-golden-caes-bits-racoes-sache__golden-caes-bits.jpg,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo
1,6,racoes_pet_giro,7896181212089,simple,Royal Canin Mini Adulto 1Kg,Royal Canin Mini Adulto 1Kg,"66,00",4,,Royal Canin,"Ra??o, Pets > Cães > Rações Cães",,Marca: Royal Canin,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/racao_royal_canin_caes_mini_adulto_para_racas_pequenas_2699_1_fc29d00b719083ef2a85b1964bca74aa.webp,ok,,sem GTIN/EAN no campo Woo
1,7,racoes_pet_giro,7898242036481,simple,"Bionatural Cães Sensitive Raça Pequena Adultos 2,5 Kg Spe...","Bionatural Cães Sensitive Raça Pequena Adultos 2,5 Kg - Special Dog","98,90",3,,Special Dog,"Ra??o, Pets > Cães > Rações Cães",,Marca: Special Dog,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/7898242036481__bionatural-caes-sensitive-raca-pequena-adultos-2-5-kg-special-dog.jpg,ok,,sem GTIN/EAN no campo Woo
1,8,saches_pet_para_combo,7898242033053,variation,Sache Special Dog 100G / Frango,Sache Special Dog - 100G / Frango / SKU 7898242033053,"3,20",170,,Special Dog,"Ra??o, Pets > Cães > Rações Cães",Sache Special Dog,Opc?o: 100G / Frango / SKU 7898242033053,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/sache-special-dog-ultralife-adultos-sabor-frango-c91o3-20250313142102.png,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo; avaliar vender como kit/combina??o no Mercado Livre
1,9,saches_pet_para_combo,7898242033077,variation,Sache Special Dog 100G / Frango,Sache Special Dog - 100G / Frango / SKU 7898242033077,"3,20",159,,Special Dog,"Ra??o, Pets > Cães > Rações Cães",Sache Special Dog,Opc?o: 100G / Frango / SKU 7898242033077,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/sache-special-dog-ultralife-adultos-sabor-frango-c91o3-20250313142102.png,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo; avaliar vender como kit/combina??o no Mercado Livre
1,10,saches_pet_para_combo,7898242033046,variation,Sache Special Dog 100G / Carne,Sache Special Dog - 100G / Carne / SKU 7898242033046,"3,20",151,,Special Dog,"Ra??o, Pets > Cães > Rações Cães",Sache Special Dog,Opc?o: 100G / Carne / SKU 7898242033046,https://aquafloragroshop.com.br/wp-content/uploads/2026/05/sache-special-dog-ultralife-adultos-sabor-frango-c91o3-20250313142102.png,ok,,varia??o Woo; imagem/categoria herdada do produto pai; sem GTIN/EAN no campo Woo; avaliar vender como kit/combina??o no Mercado Livre
