CodigoBarras;Descricao;Marca;Departamento;Estoque;PrecoVenda;Status
7898935903205;BOMBA TRAQUES BORGINHO;BORGINHO;GERAL;320,000;0;FAILED
7898341241304;PEDRA DOLOMITA Nº0 1KG;AQUA PEDRAS;AQUARISMO;125,000;0;EXCLUDED
7898242031431;SPECIAL DOG CARNE 15KG;SPECIAL DOG;RACAO ;43,000;0;EXCLUDED
7898932101550;NECTAR BEIJA FLOR REFIL 400G;REINO DAS AVES;PASSAROS;38,000;0;EXCLUDED
7898922460056;AGUA MINERAL VILLA FONTE C/ GAS 510ML;VILLA FONTE;GERAL;36,000;0;EXCLUDED
7898242031448;SPECIAL DOG CARNE 20KG;SPECIAL DOG;RACAO ;36,000;0;EXCLUDED
7898053584737;VETMAX PLUS 10KG CX4 COMP. 700MG;VETNIL;FARMACIA;35,000;0;FAILED
7898922460087;AGUA MINERAL VILLA FONTE S/ GAS 510ML;VILLA FONTE;GERAL;29,000;0;EXCLUDED
7898932101154;GOLD PAPA FILHOTE REFIL 400G;REINO DAS AVES;PASSAROS;27,000;0;EXCLUDED
7898242035217;SPECIAL DOG CARNE PLUS 20KG;SPECIAL DOG;RACAO ;27,000;0;EXCLUDED
7898242035156;SPECIAL DOG RP CARNE 20KG;SPECIAL DOG;RACAO ;26,000;0;EXCLUDED
7898242035019;SPECIAL DOG VEGETAIS PRO ADULTO 20KG;SPECIAL DOG;RACAO ;25,000;0;EXCLUDED
7893595996529;FORRO GAIOLA TNT N02;LM CONFECC;PASSAROS;23,000;0;FAILED
7893595996567;FORRO GAIOLA TNT N06;LM CONFECC;PASSAROS;23,000;0;FAILED
7898163220679;CHARUTO BAIANINHO GEROSS;BAIANINHO;TABACARIA;22,000;0;EXCLUDED
7898242031493;SPECIAL DOG GOLD CARNE E FRANGO 15KG;SPECIAL DOG;RACAO ;22,000;0;EXCLUDED
7898656685060;DOCE PIRULITO GIRA GIRA FRUTAS 10G;AQUA TERRA;GERAL;20,000;0;FAILED
7898505873709;MIÇANGA DIFERENCIADAS C/10UN;BOIAS BARÃO;PESCA;20,000;0;EXCLUDED
